const,IDL,Log_Personal,Log_Capital,Prop_Calificado,Edad_Empresa,Margen_ValAg,Apalancamiento,Pct_Capital_Ext,Pct_Servicios,tic4_4c,tic7_4,tic3_1,MacroSector_2.0,MacroSector_3.0,MacroSector_4.0,MacroSector_5.0,Region_2.0,Region_3.0,Region_4.0
1.0,-0.5529589253887708,2.833213344056216,11.000936664976987,0.0,15,0.68538703250071,0.4320636417108507,0.0,0.004080764266309182,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,0.15866062236098882,3.1354942159291497,9.089491847050528,0.4090909090909091,15,0.6161491846481078,34.848688024213196,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.6519127973671462,2.833213344056216,11.097802936231508,0.125,31,0.36808837947058404,0.7589509266858451,0.0,0.0,1.0,2.0,2.0,0,1,0,0,1,0,0
1.0,-0.5617118248557817,4.007333185232471,11.38417753396413,0.0,44,0.593427381837646,0.8080946970702262,0.0,0.0,1.0,2.0,2.0,0,1,0,0,1,0,0
1.0,-0.6963093566869205,1.3862943611198906,11.127816752368949,0.0,38,0.7870643591992982,0.9338444956151095,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.14016132671408127,3.044522437723423,11.91742143695098,0.4,22,0.44588799243200516,0.6394967224699823,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,0.1703299999358909,6.169610732491456,12.390318197567256,0.3417190775681342,48,0.25276771251878655,0.5086913082140179,0.0,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.5772610561929603,5.030437921392435,10.807364711740119,0.10526315789473684,16,0.7326143056062104,0.808178374673998,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.582023822759105,2.772588722239781,11.339411408028969,0.13333333333333333,30,0.792663582141435,0.7267055921170016,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.6086923772261323,3.912023005428146,10.603482660996232,0.04081632653061224,25,0.5087657032888797,0.5441738424531233,0.0,0.006855715408111544,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.5202194193554806,3.6888794541139363,11.58511660116717,0.05128205128205128,24,0.7288784879561173,0.38203609898857754,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.460340673596791,3.4657359027997265,9.951790654945874,0.16129032258064516,14,0.6361924429512993,0.8172725204871422,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.6384594750359904,2.3978952727983707,11.973755898814801,0.2,25,0.5250687559659386,0.9109229333030566,0.0,0.0043552083002804136,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.5415313535933918,2.1972245773362196,11.40031512159387,0.375,27,0.3797462411206487,0.2366803723046317,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,1,0
1.0,-0.6581807462619479,3.332204510175204,12.284259957808034,0.14814814814814814,29,0.33067350201276857,0.17178264086989686,0.0,0.030336138790780648,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.33833100481822875,4.0943445622221,9.665545421751345,0.23728813559322035,11,0.163987089761001,2.085535129462817,0.0,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.6880390316116684,2.8903717578961645,10.298189057998783,0.058823529411764705,22,0.8306787164636176,0.7798554278001201,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.19715795606393516,3.871201010907891,12.001263314977917,0.10638297872340426,17,0.5498962643637655,0.5394929011222993,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.2620291804072721,6.398594934535208,12.396200955727709,0.18333333333333332,47,0.29509704375842677,0.34804883789046537,0.81,0.004113459798910152,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.47345589529264437,5.313205979041787,11.328134842739367,0.06930693069306931,45,0.36953092290016887,0.687885743007524,1.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.17984954731146502,5.298317366548036,11.941727820544378,0.10050251256281408,42,0.11507179713524378,0.19606478367748761,1.0,0.00016952259789423422,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,0.1417569804227068,7.193685818395112,12.444333766421138,0.4067669172932331,41,0.21401563994748024,0.5107368659454596,1.0,0.05747855418136002,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.4361163376566557,3.4657359027997265,10.852479029384586,0.2903225806451613,60,0.8834007970067224,0.17041972709215714,0.0,0.5559028233106421,1.0,2.0,2.0,0,0,0,1,0,0,0
1.0,0.4522556478694555,3.5263605246161616,12.067605455510408,0.45454545454545453,27,0.6905373430478194,0.42465222073900905,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,0.5618802494514693,2.6390573296152584,12.526202733015666,0.5384615384615384,20,0.43901467978549596,0.33641051274998357,0.0,0.0,2.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.4687347756993264,4.430816798843313,11.296085797543205,0.060240963855421686,18,0.27462981215318016,0.5746332596368072,0.0,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,0.09145334387476883,3.091042453358316,12.369774101758008,0.38095238095238093,18,0.6825911830559405,0.5780013834641667,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
